,ID,Time,Lane,Class,x,Speed,Acceleration,Mileage
88747,290,160.0,1,3,24.0,68.49971999999873,0.002640000002713805,4.3316007
88748,288,160.0,1,4,24.0,68.79852000000213,-0.09820800000341023,4.2983527
88749,272,160.0,2,2,36.0,59.9994000000013,0.0021119999965435454,4.198172
88750,278,160.0,2,2,36.0,59.9994000000013,-0.0010560000029613548,4.1748705
88751,285,160.0,2,4,36.0,60.270119999999494,0.10348799999945868,4.1634393
88752,283,160.0,3,3,48.0,65.09916000000047,0.005279999996048446,4.1598873
88753,291,160.0,1,4,24.0,68.49899999999991,0.00475199999925735,4.1241255
88754,299,160.0,0,4,12.0,73.50047999999845,-0.0005279999967910953,4.0333652
88755,306,160.0,0,4,12.0,73.50012000000063,-2.334369734550516e-12,3.896499
88756,292,160.0,2,3,36.0,64.99980000000001,0.0,3.88555
88757,297,160.0,2,2,36.0,61.89516000000026,-0.04699200000047199,3.8766613
88758,303,160.0,2,2,36.0,63.230400000000486,-0.0005280000014806774,3.859082
88759,295,160.0,1,4,24.0,68.50260000000041,-0.005807999999863493,3.8215942
88760,302,160.0,1,2,24.0,68.49756000000068,0.00475199999925735,3.7947729
88761,309,160.0,0,2,12.0,73.50012000000063,0.0005279999991254651,3.7659154
88762,300,160.0,3,2,48.0,64.99944000000059,0.0010559999982926152,3.663467
88763,301,160.0,3,1,48.0,64.99944000000059,0.0,3.6020782
88764,304,160.0,3,2,48.0,65.60819999999872,-2.1273119999981667,3.5932202
88765,305,160.0,1,1,24.0,68.50152000000058,-0.0031679999995049,3.5552032
88766,307,160.0,2,2,36.0,67.89996000000028,-0.0005279999991463076,3.5238514
88767,308,160.0,1,0,24.0,68.49972000000034,0.002111999998877915,3.3764246
88768,313,160.0,3,2,48.0,65.09844000000004,-0.0005279999991254651,3.3642244
88769,311,160.0,2,1,36.0,67.89996000000028,0.0,3.3465688
88770,318,160.0,3,2,48.0,65.18592000000076,-0.10348800000181389,3.3334918
88771,320,160.0,2,5,36.0,68.10155999999967,-0.09556800000069643,3.3079035
88772,312,160.0,1,3,24.0,68.50152000000058,-0.0026400000003585925,3.1669617
88773,317,160.0,1,0,24.0,69.2942399999998,-0.19799999999954895,3.1344376
88774,316,160.0,1,1,24.0,69.35579999999976,0.09926399999934764,3.1110682
88775,314,160.0,3,2,48.0,64.99944000000059,0.0015839999974180804,3.1001344
88776,321,160.0,2,2,36.0,67.90067999999908,-0.00263999999800338,3.069653
88777,310,160.0,0,2,12.0,63.499320000000026,-0.0036959999986407865,3.0648155
88778,315,160.0,0,1,12.0,63.43560000000039,0.010559999999131264,3.042121
88779,330,160.0,1,1,24.0,68.50116000000116,-0.0015840000020868198,2.9576979
88780,327,160.0,2,2,36.0,67.90067999999908,-0.0010559999982509302,2.9391582
88781,319,160.0,3,2,48.0,64.99980000000001,-0.0010560000006061424,2.8870792
88782,326,160.0,1,2,24.0,68.50080000000017,-0.00052800000150152,2.8520455
88783,336,160.0,0,3,12.0,88.50024000000012,-0.0010560000006061424,2.8445134
88784,322,160.0,3,2,48.0,65.08007999999973,0.11721600000043964,2.8298035
88785,325,160.0,1,1,24.0,68.50043999999914,2.3552123214661452e-12,2.8278039
88786,323,160.0,3,1,48.0,65.31120000000037,0.0,2.8047695
88787,339,160.0,1,2,24.0,68.50080000000017,-0.00052800000150152,2.8026328
88788,334,160.0,1,4,24.0,69.8259599999993,-0.10084799999907924,2.7651987
88789,324,160.0,2,2,36.0,64.99980000000001,0.0,2.742635
88790,333,160.0,2,4,36.0,63.83267999999962,0.16579200000066407,2.721892
88791,331,160.0,3,4,48.0,65.00015999999943,-0.0005279999991463076,2.6343017
